type,stop_name,stop_lat,stop_lon,route_desc,route_type
Light Rail,Queens Wharf Light Rail,-32.9263218405014,151.781633782723,Newcastle Light Rail Network,900
Light Rail,QVB Light Rail,-33.871584150123,151.206920242681,Sydney Light Rail Network,900
Light Rail,QVB Light Rail,-33.8715815688394,151.206995724765,Sydney Light Rail Network,900
Light Rail,Randwick Light Rail,-33.9171452538752,151.240534638916,Sydney Light Rail Network,900
Light Rail,Randwick Light Rail,-33.9171178989271,151.240544088251,Sydney Light Rail Network,900
Light Rail,Royal Randwick Light Rail,-33.9052049590015,151.228834294063,Sydney Light Rail Network,900
Light Rail,Royal Randwick Light Rail,-33.9051682393128,151.22885408849,Sydney Light Rail Network,900
Light Rail,Rozelle Bay Light Rail,-33.8719114569732,151.172706660732,Sydney Light Rail Network,900
Light Rail,Rozelle Bay Light Rail,-33.8718301350933,151.172713498017,Sydney Light Rail Network,900
Light Rail,Surry Hills Light Rail,-33.8881283231394,151.211860569558,Sydney Light Rail Network,900
Light Rail,Surry Hills Light Rail,-33.8880728778762,151.211901053018,Sydney Light Rail Network,900
Light Rail,Taverners Hill Light Rail,-33.8893026283537,151.145205686535,Sydney Light Rail Network,900
Light Rail,Taverners Hill Light Rail,-33.8887128371816,151.145328360511,Sydney Light Rail Network,900
Light Rail,The Star Light Rail,-33.8675301288881,151.195034555371,Sydney Light Rail Network,900
Light Rail,The Star Light Rail,-33.8673533434379,151.195198705635,Sydney Light Rail Network,900
Light Rail,Town Hall Light Rail,-33.8738721299799,151.206935483941,Sydney Light Rail Network,900
Light Rail,Town Hall Light Rail,-33.8738567219245,151.206859115631,Sydney Light Rail Network,900
Light Rail,UNSW Anzac Parade Light Rail,-33.9166588662244,151.225878003133,Sydney Light Rail Network,900
Light Rail,UNSW Anzac Parade Light Rail,-33.9166480175614,151.225931501141,Sydney Light Rail Network,900
Light Rail,UNSW High Street Light Rail,-33.9164079066476,151.235526914584,Sydney Light Rail Network,900
Light Rail,UNSW High Street Light Rail,-33.9163352086212,151.235544924787,Sydney Light Rail Network,900
Light Rail,Wansey Road Light Rail,-33.9105357186475,151.235203471404,Sydney Light Rail Network,900
Light Rail,Wansey Road Light Rail,-33.9105256095,151.235235388702,Sydney Light Rail Network,900
Light Rail,Waratah Mills Light Rail,-33.8988248316454,151.14016742779,Sydney Light Rail Network,900
Light Rail,Waratah Mills Light Rail,-33.8987726747145,151.14011087722,Sydney Light Rail Network,900
Light Rail,Wentworth Park Light Rail,-33.8744096174606,151.194097112867,Sydney Light Rail Network,900
Light Rail,Wentworth Park Light Rail,-33.8743585894295,151.194008198775,Sydney Light Rail Network,900
Light Rail,Wynyard Light Rail,-33.8666819423683,151.207208571756,Sydney Light Rail Network,900
Light Rail,Wynyard Light Rail,-33.8666755287207,151.207132651995,Sydney Light Rail Network,900
