type,stop_name,stop_lat,stop_lon,route_desc,route_type
Train,"Blacktown Station, Platform 6",-33.76864348,150.9073547,Sydney Trains Network,2
Train,"Blacktown Station, Platform 7",-33.76869815,150.9073356,Intercity Trains Network,2
Train,"Blacktown Station, Platform 7",-33.76869815,150.9073356,Sydney Trains Network,2
Train,"Blaxland Station, Platform 1",-33.74366244,150.6097402,Intercity Trains Network,2
Train,"Blaxland Station, Platform 2",-33.74371802,150.6096886,Intercity Trains Network,2
Train,"Bomaderry Station, Platform 1",-34.85381782,150.6098517,Intercity Trains Network,2
Train,"Bombo Station, Platform 1",-34.65869346,150.8538179,Intercity Trains Network,2
Train,"Bondi Junction Station, Platform 1",-33.89127382,151.2482401,Intercity Trains Network,2
Train,"Bondi Junction Station, Platform 1",-33.89127382,151.2482401,Sydney Trains Network,2
Train,"Bondi Junction Station, Platform 2",-33.8910827,151.2482954,Intercity Trains Network,2
Train,"Bondi Junction Station, Platform 2",-33.8910827,151.2482954,Sydney Trains Network,2
Train,"Booragul Station, Platform 1",-32.97160142,151.6049156,Intercity Trains Network,2
Train,"Booragul Station, Platform 2",-32.97164015,151.6048429,Intercity Trains Network,2
Train,"Bowral Station, Platform 1",-34.47819219,150.4165139,Intercity Trains Network,2
Train,"Bowral Station, Platform 2",-34.47806877,150.4167374,Intercity Trains Network,2
Train,"Branxton Station, Platform 1",-32.6621899,151.3455569,Intercity Trains Network,2
Train,"Branxton Station, Platform 2",-32.66227123,151.3455502,Intercity Trains Network,2
Train,"Broadmeadow Station, Platform 1",-32.92282576,151.7349217,Intercity Trains Network,2
Train,"Broadmeadow Station, Platform 2",-32.92277466,151.7348442,Intercity Trains Network,2
Train,"Broadmeadow Station, Platform 3",-32.92271376,151.7347875,Intercity Trains Network,2
Train,"Bullaburra Station, Platform 1",-33.72341804,150.4148524,Intercity Trains Network,2
Train,"Bullaburra Station, Platform 2",-33.72346968,150.4149408,Intercity Trains Network,2
Train,"Bulli Station, Platform 1",-34.3343505,150.9147413,Intercity Trains Network,2
