type,stop_name,stop_lat,stop_lon,route_desc,route_type,route_color
Train,"Bellambi Station, Platform 1",-34.3627498021252,150.910033084464,Intercity Trains Network,2,005AA3
Train,"Bellambi Station, Platform 2",-34.3627653670104,150.910109869353,Intercity Trains Network,2,005AA3
Train,"Berala Station, Platform 1",-33.8718244483111,151.032375573782,Sydney Trains Network,2,0098CD
Train,"Berala Station, Platform 1",-33.8718244483111,151.032375573782,Sydney Trains Network,2,F37021
Train,"Berala Station, Platform 1",-33.8718244483111,151.032375573782,Sydney Trains Network,2,F6891F
Train,"Berala Station, Platform 2",-33.8718946545737,151.032432891737,Sydney Trains Network,2,0098CD
Train,"Berala Station, Platform 2",-33.8718946545737,151.032432891737,Sydney Trains Network,2,F37021
Train,"Berala Station, Platform 2",-33.8718946545737,151.032432891737,Sydney Trains Network,2,F6891F
Train,"Beresfield Station, Platform 1",-32.7991842262272,151.658225025192,Intercity Trains Network,2,833134
Train,"Beresfield Station, Platform 2",-32.7992229671967,151.658152387582,Intercity Trains Network,2,833134
Train,"Berowra Station, Platform 1",-33.6235758943158,151.153189851898,Intercity Trains Network,2,D11F2F
Train,"Berowra Station, Platform 2",-33.6235237286109,151.153133493225,Sydney Trains Network,2,D11F2F
Train,"Berowra Station, Platform 2",-33.6235237286109,151.153133493225,Sydney Trains Network,2,F99D1C
Train,"Berowra Station, Platform 3",-33.6234625671637,151.153076702264,Intercity Trains Network,2,D11F2F
Train,"Berry Station, Platform 1",-34.780314132529,150.696725473766,Intercity Trains Network,2,005AA3
Train,"Beverly Hills Station, Platform 1",-33.9490429252661,151.081029588895,Sydney Trains Network,2,00954C
Train,"Beverly Hills Station, Platform 2",-33.9490958262276,151.081064553532,Sydney Trains Network,2,00954C
Train,"Bexley North Station, Platform 1",-33.9374951210071,151.113632586348,Sydney Trains Network,2,00954C
Train,"Bexley North Station, Platform 2",-33.9375487340188,151.113645979249,Sydney Trains Network,2,00954C
Train,"Birrong Station, Platform 1",-33.8927150436865,151.024273170604,Sydney Trains Network,2,F6891F
