address,price,sold_date,property_type,bedrooms,bathrooms,parking,land_size
"203A/3 Broughton Street, Parramatta NSW 2150",650000,10/10/2024,apartment,2,2,1,
"1912/12 Phillip Street, Parramatta NSW 2150",980000,10/10/2024,apartment,3,2,2,
"141/13-15 Hassall Street, Parramatta NSW 2150",605000,9/10/2024,apartment,2,2,1,101 m2
"K1328/2 Morton Street, Parramatta NSW 2150",980000,9/10/2024,apartment,3,2,2,
"112/459-463 Church Street, Parramatta NSW 2150",630000,9/10/2024,apartment,2,2,1,
"10/26 Tennyson Street, Parramatta NSW 2150",598000,5/10/2024,apartment,2,1,1,
"7/21-23 Grose Street, Parramatta NSW 2150",623000,5/10/2024,apartment,2,2,1,
"1103/1A Morton Street, Parramatta NSW 2150",622000,4/10/2024,apartment,2,2,1,
"3803/88 Church Street, Parramatta NSW 2150",1280000,4/10/2024,apartment,3,2,2,
"1036/180 George, Parramatta NSW 2150",925000,3/10/2024,apartment,2,2,1,
"19/20 Elizabeth Street, Parramatta NSW 2150",541000,2/10/2024,unit,2,1,1,
"208/8 River Road West, Parramatta NSW 2150",550000,30/09/2024,apartment,2,2,1,
"2812/12 Phillip street, Parramatta NSW 2150",1245000,30/09/2024,apartment,3,2,2,
"2603/11 Hassall Street, Parramatta NSW 2150",755000,30/09/2024,apartment,2,2,1,
"204/165 Pennant Street, Parramatta NSW 2150",630000,27/09/2024,apartment,2,2,1,
"25/93-95 Thomas Street, Parramatta NSW 2150",616000,27/09/2024,unit,2,2,1,123 m2
"8/11-15 Dixon Street, Parramatta NSW 2150",580000,26/09/2024,apartment,2,2,1,
"7/21-23 Early Street, Parramatta NSW 2150",564000,26/09/2024,apartment,2,1,1,
"7/21-23 Early Street, Parramatta NSW 2150",564000,26/09/2024,apartment,2,1,1,
"103/29 Hunter Street, Parramatta NSW 2150",440000,25/09/2024,apartment,2,2,1,
"39/68 MacArthur Street, Parramatta NSW 2150",600000,24/09/2024,unit,2,2,1,
"402/29 Hunter Street, Parramatta NSW 2150",540000,21/09/2024,apartment,3,2,1,
"1707/88 Church Street, Parramatta NSW 2150",850000,21/09/2024,apartment,2,2,1,
"305/6 River Road West, Parramatta NSW 2150",545000,21/09/2024,apartment,2,2,1,122 m2
"415/45 Macquarie Street, Parramatta NSW 2150",597000,20/09/2024,unit,1,1,1,
"22/9-13 EARLY STREET, Parramatta NSW 2150",550000,19/09/2024,unit,2,1,1,
"916c/3 Broughton Street, Parramatta NSW 2150",625000,19/09/2024,unit,2,2,1,
